,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2022-01-03 12:01:00,TATMOT,NSE,,,,,493.5,500.85,492,497.6,32748423,,0
1,2022-01-04 12:01:00,TATMOT,NSE,,,,,496.8,499,484.05,489.6,24100985,,1
2,2022-01-05 12:01:00,TATMOT,NSE,,,,,486.95,492.75,483.55,489.75,15420105,,2
3,2022-01-06 12:01:00,TATMOT,NSE,,,,,481.5,492.95,477.1,488.85,16563230,,3
4,2022-01-07 12:01:00,TATMOT,NSE,,,,,490.05,495.5,483.75,490.6,15532165,,4
5,2022-01-10 12:01:00,TATMOT,NSE,,,,,493.1,504.9,491.3,503.7,25193771,,5
6,2022-01-11 12:01:00,TATMOT,NSE,,,,,503,507.9,498.15,501.3,16269193,,6
7,2022-01-12 12:01:00,TATMOT,NSE,,,,,505.85,511.85,503.5,507.25,16255334,,7
8,2022-01-13 12:01:00,TATMOT,NSE,,,,,504,513.8,494.8,511.95,27572553,,8
9,2022-01-14 12:01:00,TATMOT,NSE,,,,,509,515.4,505.65,509.9,12655602,,9
10,2022-01-17 12:01:00,TATMOT,NSE,,,,,514.8,526.9,512,525,27942414,,10
11,2022-01-18 12:01:00,TATMOT,NSE,,,,,527.9,528.5,507.15,510.8,19353195,,11
12,2022-01-19 12:01:00,TATMOT,NSE,,,,,510,522.2,504.8,520.85,21799071,,12
13,2022-01-20 12:01:00,TATMOT,NSE,,,,,519.95,523.2,512,515.7,18364451,,13
14,2022-01-21 12:01:00,TATMOT,NSE,,,,,510.4,513.85,494.25,501.85,17946821,,14
15,2022-01-24 12:01:00,TATMOT,NSE,,,,,499.7,504.3,473.35,478.45,25228959,,15
16,2022-01-25 12:01:00,TATMOT,NSE,,,,,473.8,492.5,467.65,490.55,22565698,,16
17,2022-01-27 12:01:00,TATMOT,NSE,,,,,480.75,502.7,476.6,494.4,26676094,,17
18,2022-01-28 12:01:00,TATMOT,NSE,,,,,500.5,509.35,495.3,497.3,21784640,,18
19,2022-01-31 12:01:00,TATMOT,NSE,,,,,505,520,498.2,517.75,27306578,,19
20,2022-02-01 12:02:00,TATMOT,NSE,,,,,508,514.75,493,504.3,48030231,,20
21,2022-02-02 12:02:00,TATMOT,NSE,,,,,508.6,514.45,505.15,506.4,14311040,,21
22,2022-02-03 12:02:00,TATMOT,NSE,,,,,509.1,514.3,502.85,504.5,15249245,,22
23,2022-02-04 12:02:00,TATMOT,NSE,,,,,503.8,507.8,499,500.6,12663199,,23
24,2022-02-07 12:02:00,TATMOT,NSE,,,,,502.9,504.35,492.5,494.6,13392910,,24
25,2022-02-08 12:02:00,TATMOT,NSE,,,,,498,498.5,479.15,492.75,23378623,,25
26,2022-02-09 12:02:00,TATMOT,NSE,,,,,496.5,503.7,494.7,501.25,12430730,,26
27,2022-02-10 12:02:00,TATMOT,NSE,,,,,506.7,510.5,504.2,507.45,14537945,,27
28,2022-02-11 12:02:00,TATMOT,NSE,,,,,503.25,507,497,498.85,13534899,,28
29,2022-02-14 12:02:00,TATMOT,NSE,,,,,487,488.5,468.8,471.45,22157389,,29
30,2022-02-15 12:02:00,TATMOT,NSE,,,,,476.15,505.5,467.3,504,30623088,,30
31,2022-02-16 12:02:00,TATMOT,NSE,,,,,504,507.9,496.6,498.45,20176993,,31
32,2022-02-17 12:02:00,TATMOT,NSE,,,,,505.9,511.5,498.3,499.95,27943077,,32
33,2022-02-18 12:02:00,TATMOT,NSE,,,,,498,502.65,491.5,493.15,15476803,,33
34,2022-02-21 12:02:00,TATMOT,NSE,,,,,490.15,500.4,486.1,494.45,22592161,,34
35,2022-02-22 12:02:00,TATMOT,NSE,,,,,480.55,486.3,471.45,478.25,27957544,,35
36,2022-02-23 12:02:00,TATMOT,NSE,,,,,481.75,485.4,475.3,477,17703998,,36
37,2022-02-24 12:02:00,TATMOT,NSE,,,,,455.95,461.55,405.45,427.95,57265685,,37
38,2022-02-25 12:02:00,TATMOT,NSE,,,,,444.85,465.7,441.6,459.75,48876182,,38
39,2022-02-28 12:02:00,TATMOT,NSE,,,,,445,457.35,440.45,454.05,34475468,,39
40,2022-03-02 12:03:00,TATMOT,NSE,,,,,452.95,454.25,444.55,447.6,25791134,,40
41,2022-03-03 12:03:00,TATMOT,NSE,,,,,458.5,458.5,435,437.1,29599672,,41
42,2022-03-04 12:03:00,TATMOT,NSE,,,,,431.85,431.85,414.75,417.25,38765185,,42
43,2022-03-07 12:03:00,TATMOT,NSE,,,,,401.75,401.75,387.5,394,44836205,,43
44,2022-03-08 12:03:00,TATMOT,NSE,,,,,390.5,395.45,376.35,391.75,55543383,,44
45,2022-03-09 12:03:00,TATMOT,NSE,,,,,394.95,409.25,389.5,405.9,48376222,,45
46,2022-03-10 12:03:00,TATMOT,NSE,,,,,427,434.95,414,419.6,59776817,,46
47,2022-03-11 12:03:00,TATMOT,NSE,,,,,413.6,421.15,407.4,418.15,51510243,,47
48,2022-03-14 12:03:00,TATMOT,NSE,,,,,418.75,419,404,411.7,40721277,,48
49,2022-03-15 12:03:00,TATMOT,NSE,,,,,409.85,424.2,408,413.65,47706136,,49
50,2022-03-16 12:03:00,TATMOT,NSE,,,,,427.05,428.55,420.7,424.9,27191170,,50
51,2022-03-17 12:03:00,TATMOT,NSE,,,,,432,435.7,429.55,433.8,26704541,,51
52,2022-03-21 12:03:00,TATMOT,NSE,,,,,435.5,436.3,427.1,427.95,18270995,,52
53,2022-03-22 12:03:00,TATMOT,NSE,,,,,428.1,441.45,421.2,440.35,30441493,,53
54,2022-03-23 12:03:00,TATMOT,NSE,,,,,443.5,447,434.6,435.8,25466395,,54
55,2022-03-24 12:03:00,TATMOT,NSE,,,,,430,435.4,427.55,433.2,17109723,,55
56,2022-03-25 12:03:00,TATMOT,NSE,,,,,437,437,427.65,432.1,15104414,,56
57,2022-03-28 12:03:00,TATMOT,NSE,,,,,432,434.95,426.5,432.7,16757901,,57
58,2022-03-29 12:03:00,TATMOT,NSE,,,,,436,439.35,431.4,433.7,18710736,,58
59,2022-03-30 12:03:00,TATMOT,NSE,,,,,438.45,442.5,434.25,435.65,18149488,,59
60,2022-03-31 12:03:00,TATMOT,NSE,,,,,436,438.3,432.6,433.75,14248045,,60
61,2022-04-01 12:04:00,TATMOT,NSE,,,,,434,442.25,430.85,441.15,19380324,,61
62,2022-04-04 12:04:00,TATMOT,NSE,,,,,444.4,449.5,441.3,446.75,18657201,,62
63,2022-04-05 12:04:00,TATMOT,NSE,,,,,450,461.9,448.3,458.05,28530470,,63
64,2022-04-06 12:04:00,TATMOT,NSE,,,,,455.9,462.7,452.6,456.15,24974477,,64
65,2022-04-07 12:04:00,TATMOT,NSE,,,,,456.5,459.1,448.5,449.5,19950241,,65
66,2022-04-08 12:04:00,TATMOT,NSE,,,,,450,456.25,449.7,452.05,16315704,,66
67,2022-04-11 12:04:00,TATMOT,NSE,,,,,457,458.9,451,452.05,14339854,,67
68,2022-04-12 12:04:00,TATMOT,NSE,,,,,450.8,450.8,435,438.3,22698696,,68
69,2022-04-13 12:04:00,TATMOT,NSE,,,,,441.8,442.85,430.1,431.05,16817981,,69
70,2022-04-18 12:04:00,TATMOT,NSE,,,,,430,436.35,423.65,433.8,15298361,,70
71,2022-04-19 12:04:00,TATMOT,NSE,,,,,436.75,440.25,417,424.95,12669041,,71
72,2022-04-20 12:04:00,TATMOT,NSE,,,,,431,441.7,428.25,440.55,19639290,,72
73,2022-04-21 12:04:00,TATMOT,NSE,,,,,444.5,449.35,441.05,448.05,14124872,,73
74,2022-04-22 12:04:00,TATMOT,NSE,,,,,442.05,447.25,438,438.85,14362036,,74
75,2022-04-25 12:04:00,TATMOT,NSE,,,,,432.75,436,423.15,425.15,14729009,,75
76,2022-04-26 12:04:00,TATMOT,NSE,,,,,433.9,437.45,431.6,434.9,13577513,,76
77,2022-04-27 12:04:00,TATMOT,NSE,,,,,429.25,432.95,425.1,430.25,13701069,,77
78,2022-04-28 12:04:00,TATMOT,NSE,,,,,434.8,439.2,430.8,436.05,13875650,,78
79,2022-04-29 12:04:00,TATMOT,NSE,,,,,440.2,447.75,436,437.6,21991752,,79
80,2022-05-02 12:05:00,TATMOT,NSE,,,,,437.95,442.95,428.5,432.85,18945234,,80
81,2022-05-04 12:05:00,TATMOT,NSE,,,,,437.95,440.6,420.7,423.5,14934742,,81
82,2022-05-05 12:05:00,TATMOT,NSE,,,,,429,434,423.7,426.3,12240729,,82
83,2022-05-06 12:05:00,TATMOT,NSE,,,,,418.85,420.2,407,408.55,25142225,,83
84,2022-05-09 12:05:00,TATMOT,NSE,,,,,407.15,407.4,395,403.95,18076956,,84
85,2022-05-10 12:05:00,TATMOT,NSE,,,,,400,408.5,389.6,391.75,16540303,,85
86,2022-05-11 12:05:00,TATMOT,NSE,,,,,396,397,377.55,388.15,29215175,,86
87,2022-05-12 12:05:00,TATMOT,NSE,,,,,382,384.65,366.2,372.3,33511538,,87
88,2022-05-13 12:05:00,TATMOT,NSE,,,,,387,419.35,387,404.3,71425747,,88
89,2022-05-16 12:05:00,TATMOT,NSE,,,,,411.9,411.9,396.25,405.35,24938704,,89
90,2022-05-17 12:05:00,TATMOT,NSE,,,,,408.4,425.65,405,424.15,24651585,,90
91,2022-05-18 12:05:00,TATMOT,NSE,,,,,424,427.35,414.05,415.15,20490516,,91
92,2022-05-19 12:05:00,TATMOT,NSE,,,,,400,406.8,396.2,398.65,17706724,,92
93,2022-05-20 12:05:00,TATMOT,NSE,,,,,410,421.4,410,418,23504236,,93
94,2022-05-23 12:05:00,TATMOT,NSE,,,,,421.65,431.15,419.55,421.45,16345308,,94
95,2022-05-24 12:05:00,TATMOT,NSE,,,,,423.9,427.5,416,425.75,14525617,,95
96,2022-05-25 12:05:00,TATMOT,NSE,,,,,428.45,429,413.45,417,13540006,,96
97,2022-05-26 12:05:00,TATMOT,NSE,,,,,422,422.65,405,420.65,17712299,,97
98,2022-05-27 12:05:00,TATMOT,NSE,,,,,426.05,433.25,425.2,429.6,16867431,,98
99,2022-05-30 12:05:00,TATMOT,NSE,,,,,437,445.2,436,442.4,18500266,,99
100,2022-05-31 12:05:00,TATMOT,NSE,,,,,443.95,449.5,440.4,443.55,22308219,,100
101,2022-06-01 12:06:00,TATMOT,NSE,,,,,445.1,446,439.6,444.6,11930669,,101
102,2022-06-02 12:06:00,TATMOT,NSE,,,,,445,445.6,435.65,439.15,12742438,,102
103,2022-06-03 12:06:00,TATMOT,NSE,,,,,444.9,445.05,430.5,431.9,12780122,,103
104,2022-06-06 12:06:00,TATMOT,NSE,,,,,427.9,433.95,424.6,432.35,11896105,,104
105,2022-06-07 12:06:00,TATMOT,NSE,,,,,432.5,438.2,429.1,435.85,11153869,,105
106,2022-06-08 12:06:00,TATMOT,NSE,,,,,438.7,440.4,432,435.65,12844475,,106
107,2022-06-09 12:06:00,TATMOT,NSE,,,,,431.9,435.65,426.1,428.5,13043367,,107
108,2022-06-10 12:06:00,TATMOT,NSE,,,,,423,428.85,422,428.05,11914234,,108
109,2022-06-13 12:06:00,TATMOT,NSE,,,,,414.9,418.15,405.6,406.7,17442641,,109
110,2022-06-14 12:06:00,TATMOT,NSE,,,,,403,411.85,397.7,405.15,19626627,,110
111,2022-06-15 12:06:00,TATMOT,NSE,,,,,410,416.4,407.45,414.1,15192826,,111
112,2022-06-16 12:06:00,TATMOT,NSE,,,,,420,420.9,390.1,392.95,22261032,,112
113,2022-06-17 12:06:00,TATMOT,NSE,,,,,387.95,394.45,382.65,388.95,24824899,,113
114,2022-06-20 12:06:00,TATMOT,NSE,,,,,390.55,392.95,376.65,382.7,17049013,,114
115,2022-06-21 12:06:00,TATMOT,NSE,,,,,389,399,387,397.6,14743366,,115
116,2022-06-22 12:06:00,TATMOT,NSE,,,,,396.4,397,390.5,393.1,12426604,,116
117,2022-06-23 12:06:00,TATMOT,NSE,,,,,396.3,409.9,394.55,407.2,26514004,,117
118,2022-06-24 12:06:00,TATMOT,NSE,,,,,410,412.85,406.15,409.3,14806456,,118
119,2022-06-27 12:06:00,TATMOT,NSE,,,,,417.55,419.45,412.35,414.5,12018949,,119
120,2022-06-28 12:06:00,TATMOT,NSE,,,,,411.3,418.2,409.15,417.1,13238339,,120
121,2022-06-29 12:06:00,TATMOT,NSE,,,,,412.05,419.9,411.55,416.95,13104313,,121
122,2022-06-30 12:06:00,TATMOT,NSE,,,,,418.3,424,410,411.8,20121916,,122
123,2022-07-01 12:07:00,TATMOT,NSE,,,,,410.65,414.6,402.3,412.7,14725989,,123
124,2022-07-04 12:07:00,TATMOT,NSE,,,,,411.55,414.9,405,408.45,11525133,,124
125,2022-07-05 12:07:00,TATMOT,NSE,,,,,415,418.8,410.2,412,16771012,,125
126,2022-07-06 12:07:00,TATMOT,NSE,,,,,414,417.3,410.65,416.35,12196920,,126
127,2022-07-07 12:07:00,TATMOT,NSE,,,,,419.9,432.95,419.3,430.85,17616800,,127
128,2022-07-08 12:07:00,TATMOT,NSE,,,,,436.25,443.85,429.3,441.55,23730027,,128
129,2022-07-11 12:07:00,TATMOT,NSE,,,,,438.05,441.2,433.45,437.05,12621150,,129
130,2022-07-12 12:07:00,TATMOT,NSE,,,,,433,435,428.15,430.55,9518822,,130
131,2022-07-13 12:07:00,TATMOT,NSE,,,,,432.7,435.85,425.65,427.1,10181698,,131
132,2022-07-14 12:07:00,TATMOT,NSE,,,,,428,431.25,423.3,428.05,10744547,,132
133,2022-07-15 12:07:00,TATMOT,NSE,,,,,430.65,441.75,429.7,440.2,15774084,,133
134,2022-07-18 12:07:00,TATMOT,NSE,,,,,443.95,453.8,443.2,450.9,21185764,,134
135,2022-07-19 12:07:00,TATMOT,NSE,,,,,446.75,451.85,444.45,449.05,11553440,,135
136,2022-07-20 12:07:00,TATMOT,NSE,,,,,454.35,460.75,451.75,453.45,17154184,,136
137,2022-07-21 12:07:00,TATMOT,NSE,,,,,452.95,455.5,450.1,454.85,10931800,,137
138,2022-07-22 12:07:00,TATMOT,NSE,,,,,456.6,459.95,452.3,454.9,10340910,,138
139,2022-07-25 12:07:00,TATMOT,NSE,,,,,456,457.6,446.3,449.55,12505062,,139
140,2022-07-26 12:07:00,TATMOT,NSE,,,,,448.7,448.7,439.75,441.15,11563528,,140
141,2022-07-27 12:07:00,TATMOT,NSE,,,,,441.15,445,436.1,444.05,10081023,,141
142,2022-07-28 12:07:00,TATMOT,NSE,,,,,440.25,449.25,427.4,442.25,36380444,,142
143,2022-07-29 12:07:00,TATMOT,NSE,,,,,445.15,452.7,445.15,449.6,16004096,,143
144,2022-08-01 12:08:00,TATMOT,NSE,,,,,451.95,481,451.05,479.2,43084536,,144
145,2022-08-02 12:08:00,TATMOT,NSE,,,,,478.9,479.9,469.25,476.25,19065689,,145
146,2022-08-03 12:08:00,TATMOT,NSE,,,,,475,476.25,459.6,467.8,19125906,,146
147,2022-08-04 12:08:00,TATMOT,NSE,,,,,473.15,473.95,456.45,468.9,18540405,,147
148,2022-08-05 12:08:00,TATMOT,NSE,,,,,468.9,472.9,464,465.25,11917799,,148
